X_Coordinate(nm),Y_Coordinate(nm),Cr_Composition
44.125,0,0.954477878028194
44.25,0,0.960148406296897
44.375,0,0.968118593783094
44.5,0,0.973545859599234
44.625,0,0.980671429817991
44.75,0,0.987711378358416
44.875,0,0.993021507847043
45,0,0.998374859243973
45.125,0,1
45.25,0,1
45.375,0,1
45.5,0,1
45.625,0,1
45.75,0,1
45.875,0,1
46,0,1
46.125,0,1
46.25,0,1
46.375,0,1
46.5,0,1
46.625,0,1
46.75,0,1
46.875,0,1
47,0,1
47.125,0,1
47.25,0,1
47.375,0,1
47.5,0,1
47.625,0,1
47.75,0,1
47.875,0,1
48,0,1
48.125,0,1
48.25,0,1
48.375,0,1
48.5,0,1
48.625,0,1
48.75,0,1
48.875,0,1
49,0,1
49.125,0,1
49.25,0,1
49.375,0,1
49.5,0,1
49.625,0,1
49.75,0,1
49.875,0,1
50,0,1
0,0.125,1
0.12581,0.12582,1
0.25143,0.12631,1
0.37695,0.12672,1
0.5024,0.12709,1
0.6278,0.12743,1
0.75316,0.12774,1
0.8785,0.12803,1
1.0038,0.1283,1
1.1291,0.12855,1
1.2544,0.12879,1
1.3797,0.12901,1
1.5049,0.12922,1
1.6302,0.12943,1
1.7554,0.12963,1
1.8807,0.12982,1
2.0059,0.13002,1
2.1312,0.13021,1
2.2564,0.13041,1
2.3817,0.1306,1
2.5069,0.13081,1
2.6322,0.13101,1
2.7574,0.13123,1
2.8827,0.13145,1
3.0079,0.13168,1
3.1331,0.13192,1
3.2583,0.13217,1
3.3836,0.13242,1
3.5088,0.13269,1
3.634,0.13296,1
3.7592,0.13324,1
3.8843,0.13353,1
4.0095,0.13382,1
4.1347,0.13412,1
4.2598,0.13443,1
4.3849,0.13473,1
4.5101,0.13504,1
4.6352,0.13535,1
4.7603,0.13566,1
4.8853,0.13596,1
5.0104,0.13626,1
5.1354,0.13656,1
5.2605,0.13685,1
5.3855,0.13712,1
5.5105,0.13739,1
5.6355,0.13764,1
5.7605,0.13788,1
5.8854,0.13811,1
6.0104,0.13832,1
6.1354,0.13852,1
6.2603,0.13869,1
6.3852,0.13885,1
6.5102,0.13899,1
6.6351,0.13911,1
6.7601,0.13921,1
6.885,0.13929,1
7.0099,0.13935,1
7.1349,0.13939,1
7.2598,0.13941,1
7.3847,0.13941,1
7.5097,0.13938,1
7.6346,0.13934,1
7.7596,0.13928,1
7.8846,0.13919,1
8.0096,0.13909,1
8.1345,0.13896,1
8.2596,0.13882,1
8.3846,0.13866,1
8.5096,0.13848,1
8.6347,0.13828,1
8.7597,0.13807,1
8.8848,0.13784,1
9.01,0.1376,1
9.1351,0.13735,1
9.2602,0.13708,1
9.3854,0.13681,1
9.5106,0.13652,1
9.6359,0.13623,1
9.7611,0.13594,1
9.8864,0.13564,1
10.012,0.13533,1
10.137,0.13503,1
10.262,0.13473,1
10.388,0.13443,1
10.513,0.13414,1
10.639,0.13385,1
10.764,0.13357,1
10.89,0.1333,1
11.015,0.13303,1
11.141,0.13278,1
11.266,0.13254,1
11.392,0.1323,1
11.517,0.13208,1
11.643,0.13187,1
11.768,0.13167,1
11.894,0.13148,1
12.02,0.13129,1
12.145,0.13112,1
12.271,0.13096,1
12.397,0.13081,1
12.523,0.13066,1
12.648,0.13052,1
12.774,0.13039,1
12.9,0.13026,1
13.026,0.13013,1
13.151,0.13001,1
13.277,0.12989,1
13.403,0.12977,1
13.529,0.12965,1
13.655,0.12953,1
13.781,0.12942,1
13.907,0.12929,1
14.033,0.12917,1
14.159,0.12904,1
14.285,0.12891,1
14.411,0.12877,1
14.537,0.12863,1
14.663,0.12848,1
14.789,0.12833,1
14.915,0.12817,1
15.041,0.128,1
15.168,0.12783,1
15.294,0.12766,1
15.421,0.12749,1
15.547,0.12733,1
15.674,0.12718,1
15.8,0.12704,1
15.927,0.12694,1
16.054,0.12688,1
16.181,0.12688,1
16.308,0.12697,1
16.435,0.12718,1
16.563,0.12752,1
16.69,0.12804,1
16.817,0.12876,1
16.945,0.12969,1
17.072,0.13083,1
17.199,0.13217,0.988008371640209
17.327,0.13365,0.972160593218366
17.454,0.13524,0.953649256768535
17.581,0.13688,0.932988569558895
17.708,0.13849,0.90854614916954
17.835,0.14003,0.877347801618721
17.962,0.14146,0.84416028503494
18.089,0.14275,0.808947761472126
18.216,0.14388,0.770121906222641
18.343,0.14484,0.730747209966083
18.471,0.14559,0.690120525110048
18.598,0.14603,0.646571937568048
18.724,0.14595,0.607753372620369
18.85,0.14498,0.565532398460763
18.972,0.14258,0.528581081235559
19.089,0.13823,0.493187122764181
19.203,0.13198,0.45996083934549
19.315,0.1247,0.431854194806927
19.428,0.11766,0.407069113275869
19.543,0.11174,0.384441265367914
19.66,0.10724,0.366630123950685
19.778,0.10401,0.349933848959173
19.898,0.10175,0.335950409394237
20.019,0.1002,0.323876107699823
20.14,0.099148,0.314103482210916
20.262,0.098462,0.305537535353203
20.384,0.098049,0.296570204860543
20.506,0.097853,0.288761854993257
20.628,0.097847,0.281153215921559
20.75,0.098024,0.281951700574194
20.871,0.098397,0.280911252154224
20.993,0.099001,0.284941537133201
21.115,0.0999,0.291516712118045
21.236,0.1012,0.304159364317223
21.356,0.10305,0.317600172105679
21.476,0.10569,0.337626672417668
21.594,0.10937,0.360646025909782
21.71,0.11435,0.384812206303797
21.824,0.12067,0.413601199893977
21.937,0.12785,0.443300165110383
22.049,0.13485,0.472192447110785
22.163,0.14051,0.505877235922743
22.282,0.14424,0.5383826249589
22.405,0.14622,0.574172384514106
22.53,0.14698,0.609930064933006
22.657,0.14702,0.646887288359896
22.784,0.14666,0.688983993581537
22.911,0.14606,0.72886363823943
23.038,0.14529,0.768300224166366
23.165,0.14439,0.808787575467524
23.292,0.14336,0.847154911532615
23.419,0.14222,0.883455028638104
23.546,0.14099,0.914947429662308
23.673,0.13969,0.942457400632332
23.799,0.13835,0.966140648744797
23.926,0.13703,0.983496489357635
24.053,0.13576,0.998293004782306
24.18,0.1346,1
24.307,0.13357,1
24.434,0.1327,1
24.561,0.132,1
24.689,0.13147,1
24.816,0.13108,1
24.942,0.13082,1
25.069,0.13066,1
25.196,0.13057,1
25.323,0.13055,1
25.449,0.13056,1
25.576,0.13061,1
25.702,0.13066,1
25.829,0.13073,1
25.955,0.1308,1
26.081,0.13087,1
26.208,0.13094,1
26.334,0.131,1
26.46,0.13105,1
26.586,0.1311,1
26.712,0.13115,1
26.838,0.13119,1
26.964,0.13122,1
27.09,0.13125,1
27.216,0.13128,1
27.342,0.1313,1
27.468,0.13132,1
27.594,0.13134,1
27.72,0.13136,1
27.845,0.13139,1
27.971,0.13141,1
28.097,0.13143,1
28.223,0.13146,1
28.349,0.13149,1
28.475,0.13153,1
28.6,0.13157,1
28.726,0.13161,1
28.852,0.13166,1
28.977,0.13172,1
29.103,0.13178,1
29.229,0.13184,1
29.355,0.13192,1
29.48,0.13199,1
29.606,0.13208,1
29.731,0.13217,1
29.857,0.13227,1
29.983,0.13237,1
30.108,0.13248,1
30.234,0.1326,1
30.359,0.13272,1
30.485,0.13285,1
30.61,0.13298,1
30.736,0.13312,1
30.862,0.13326,1
30.987,0.13341,1
31.112,0.13356,1
31.238,0.13372,1
31.363,0.13387,1
31.489,0.13403,1
31.614,0.1342,1
31.74,0.13436,1
31.865,0.13452,1
31.99,0.13469,1
32.116,0.13485,1
32.241,0.13501,1
32.366,0.13517,1
32.492,0.13532,1
32.617,0.13548,1
32.742,0.13562,1
32.867,0.13576,1
32.993,0.1359,1
33.118,0.13603,1
33.243,0.13615,1
33.368,0.13626,1
33.494,0.13636,1
33.619,0.13646,1
33.744,0.13654,1
33.869,0.13661,1
33.994,0.13668,1
34.119,0.13673,1
34.245,0.13676,1
34.37,0.13679,1
34.495,0.13681,1
34.62,0.13681,1
34.745,0.1368,1
34.87,0.13678,1
34.995,0.13675,1
35.12,0.1367,1
35.245,0.13664,1
35.371,0.13658,1
35.496,0.1365,1
35.621,0.13641,1
35.746,0.13631,1
35.871,0.1362,1
35.996,0.13609,1
36.121,0.13596,1
36.246,0.13583,1
36.372,0.13569,1
36.497,0.13555,1
36.622,0.1354,1
36.747,0.13525,1
36.872,0.1351,1
36.997,0.13494,1
37.122,0.13479,1
37.248,0.13463,1
37.373,0.13447,1
37.498,0.13431,1
37.623,0.13415,1
37.748,0.134,1
37.874,0.13385,1
37.999,0.1337,1
38.124,0.13355,1
38.249,0.13341,1
38.374,0.13327,1
38.5,0.13313,1
38.625,0.133,1
38.75,0.13288,1
38.875,0.13276,1
39.001,0.13264,1
39.126,0.13253,1
39.251,0.13242,1
39.376,0.13232,1
39.502,0.13223,1
39.627,0.13214,1
39.752,0.13206,1
39.877,0.13198,1
40.003,0.13191,1
