time,active_time,area_h,evaluations,iterations,nodes,step_size,von_mises
0,0,1248.2142502093,0,0,0,0,0
3.90625,1681.96181402,1248.0817499552,1808,44,160801,3.90625,31.899676509028
7.8125,1919.662034422,1248.0816819958,1901,39,160801,3.90625,31.747627858062
11.71875,2163.185747158,1248.0826111796,1993,38,160801,3.90625,31.905393615779
15.625,2399.890417844,1248.084195709,2088,41,160801,3.90625,32.190291961184
19.53125,2651.169615657,1248.0864694486,2185,43,160801,3.90625,32.58661112301
23.4375,2921.81347493,1248.0895640431,2285,46,160801,3.90625,33.107066445811
27.34375,3183.514604267,1248.0936988996,2384,45,160801,3.90625,33.776019290442
31.25,3454.084442555,1248.0991853016,2487,49,160801,3.90625,34.625140130665
33.203125,3864.494547616,1248.1024619945,2620,27,160801,1.953125,35.113789354166
35.15625,4080.107534696,1248.1062150276,2702,28,160801,1.953125,35.658267112943
37.109375,4300.147116122,1248.1105114946,2786,30,160801,1.953125,36.263217614817
39.0625,4517.956028413,1248.1154278491,2871,31,160801,1.953125,36.933382436252
41.015625,4768.46622366,1248.121050761,2957,32,160801,1.953125,37.673704663185
42.96875,5008.638397801,1248.1274780883,3044,33,160801,1.953125,38.489179921628
44.921875,5303.282630068,1248.1348199916,3133,35,160801,1.953125,39.384949165211
46.875,5619.714808893,1248.1431999852,3224,37,160801,1.953125,40.366167120683
48.828125,5927.156721439,1248.1527559397,3316,38,160801,1.953125,41.438076778187
50.78125,6187.440939325,1248.1636410296,3410,40,160801,1.953125,42.605906846692
52.734375,6510.38281935,1248.1760241689,3505,41,160801,1.953125,43.874800749349
52.734375,6456.165526516,1248.1760241689,95,41,160801,1.953125,43.874800749346
54.6875,6734.310916183,1248.1900906974,192,43,160801,1.953125,45.249834940356
56.640625,7033.721762884,1248.2060421357,290,44,160801,1.953125,46.735975186592
58.59375,7303.563754307,1248.2240952924,389,45,160801,1.953125,48.338144713753
60.546875,7584.45480563,1248.2444808639,492,49,160801,1.953125,50.061274652521
62.5,7893.514765497,1248.2674402928,596,50,160801,1.953125,51.910142454275
63.4765625,8306.764335714,1248.2798093785,740,38,160801,0.9765625,52.86941390003
65.4296875,8445.864505791,1248.307075541,792,50,160801,1.953125,54.914451912276
66.40625,8833.263877064,1248.3217145297,937,39,160801,0.9765625,55.972800603318
67.3828125,9071.200957743,1248.3371629306,1030,39,160801,0.9765625,57.064844173418
68.359375,9320.390622325,1248.3534487618,1124,40,160801,0.9765625,58.191045069469
69.3359375,9576.623151314,1248.3705985407,1218,40,160801,0.9765625,59.351845941211
70.3125,9820.281269302,1248.3886367994,1312,40,160801,0.9765625,60.547669003708
71.2890625,10139.004584344,1248.4075855615,1407,41,160801,0.9765625,61.778913473182
72.265625,10459.783088876,1248.4274637471,1502,41,160801,0.9765625,63.045953883546
73.2421875,10699.633113238,1248.4482865109,1597,41,160801,0.9765625,64.349137839932
74.21875,10979.731877332,1248.4700644935,1693,42,160801,0.9765625,65.688788583503
75.1953125,11290.471054675,1248.4928029698,1789,42,160801,0.9765625,67.065193113637
76.171875,11615.800650088,1248.5165009409,96,42,160801,0.9765625,68.478588916839
77.1484375,11863.73308946,1248.5411501242,193,43,160801,0.9765625,69.929177027852
79.1015625,12001.669923174,1248.5936793761,245,50,160801,1.953125,72.986373607083
81.0546875,12247.912894181,1248.649677083,348,49,160801,1.953125,76.198061868469
82.03125,12591.844495754,1248.6786443854,498,44,160801,0.9765625,77.838326520289
83.0078125,12835.333866348,1248.7082809545,596,44,160801,0.9765625,79.516042469992
83.984375,13076.541577477,1248.7384887727,694,44,160801,0.9765625,81.231063733548
84.9609375,13291.269258141,1248.7691501089,792,44,160801,0.9765625,82.98318622325
85.9375,13511.839439325,1248.8001253617,891,45,160801,0.9765625,84.772142173925
86.9140625,13768.061807718,1248.8312507803,990,45,160801,0.9765625,86.597594322731
87.890625,14007.700500398,1248.862336158,1089,45,160801,0.9765625,88.459135677183
88.8671875,14250.688212128,1248.8931622248,1188,45,160801,0.9765625,90.356288213244
89.84375,14498.300654963,1248.9234780239,1287,45,160801,0.9765625,92.288506797064
90.8203125,14735.046937276,1248.9529981041,1385,44,160801,0.9765625,94.255173628758
91.796875,14940.676529497,1248.9813996179,1482,43,160801,0.9765625,96.255591427364
92.7734375,15176.241061552,1249.0083192927,1578,42,160801,0.9765625,98.288973894496
93.75,15401.885817176,1249.0333503081,1674,42,160801,0.9765625,100.3544507386
94.7265625,15628.806939244,1249.0560390627,1769,41,160801,0.9765625,102.45107360109
95.703125,15863.668490843,1249.0758818859,1864,41,160801,0.9765625,104.57781504184
96.6796875,16066.515455115,1249.0923216789,1960,42,160801,0.9765625,106.73357032096
97.65625,16268.529870342,1249.104744503,2055,41,160801,0.9765625,108.91715583209
98.6328125,16472.706689226,1249.1124762091,2151,42,160801,0.9765625,111.12730855919
99.609375,16679.398581056,1249.1147789977,2247,42,160801,0.9765625,113.36269037368
100.5859375,16882.141162938,1249.1108481012,2343,42,160801,0.9765625,115.62188190897
101.5625,17086.369400971,1249.0998085343,2439,42,160801,0.9765625,117.90338369751
102.5390625,17289.147364626,1249.0807119105,2535,42,160801,0.9765625,120.20562314921
103.515625,17495.949895964,1249.0525335438,2632,43,160801,0.9765625,122.52695910174
104.4921875,17701.028466162,1249.0141696647,2729,43,160801,0.9765625,124.86568343342
105.46875,17907.225405354,1248.9644349989,2826,43,160801,0.9765625,127.22002418866
106.4453125,18112.453756242,1248.9020606767,2923,43,160801,0.9765625,129.58815095022
