time,active_time,area_h,evaluations,iterations,nodes,step_size,von_mises
195.3125,6048.990776156,2477.1875339552,4194,35,160801,0.9765625,12.143179098624
196.2890625,6178.961326753,2476.1914501983,4284,36,160801,0.9765625,12.937413189284
197.265625,6310.068573906,2475.1422420114,4374,36,160801,0.9765625,13.77631385763
198.2421875,6438.470431857,2474.0383829759,4463,35,160801,0.9765625,14.660593206011
199.21875,6566.789731067,2472.8783859321,4551,34,160801,0.9765625,15.590831203575
200.1953125,6693.216920077,2471.6608013683,4639,34,160801,0.9765625,16.567502018487
201.171875,6822.508826534,2470.3842158237,4728,35,160801,0.9765625,17.590965808367
202.1484375,6947.034142067,2469.0472504654,4815,33,160801,0.9765625,18.661482250231
203.125,7073.343850926,2467.6485599831,4902,33,160801,0.9765625,19.779246469926
204.1015625,7199.298465057,2466.1868320038,4990,34,160801,0.9765625,20.944376781739
206.0546875,7275.199682711,2463.0415796071,5041,49,160801,1.953125,23.438465682752
207.03125,7472.263397391,2461.3820848101,5179,32,160801,0.9765625,24.746814034217
208.984375,7547.439589598,2457.8275669412,5230,49,160801,1.953125,27.528913183221
210.9375,7695.323377789,2453.988161136,5333,49,160801,1.953125,30.502896809045
212.890625,7842.989688783,2449.8558902055,5435,48,160801,1.953125,33.667711026885
214.84375,7987.89672304,2445.4241381472,5536,47,160801,1.953125,37.021719219173
216.796875,8129.623008791,2440.688134537,5634,44,160801,1.953125,40.56235849134
218.75,8273.095870206,2435.6455182335,5734,46,160801,1.953125,44.285676237403
220.703125,8414.866862009,2430.2968889276,5832,44,160801,1.953125,48.185778251886
222.65625,8555.446520058,2424.6462266185,5930,44,160801,1.953125,52.254304260311
224.609375,8697.113690621,2418.7010582837,6028,44,160801,1.953125,56.48008463368
226.5625,8841.965312024,2412.4722908536,6129,47,160801,1.953125,60.848878372218
228.515625,8979.265294271,2405.9737044066,6224,41,160801,1.953125,65.343605802102
230.46875,9128.512137565,2399.2211896581,6328,50,160801,1.953125,69.945138693859
231.4453125,9316.342835687,2395.7771485069,6459,25,160801,0.9765625,72.266377613961
232.421875,9429.060707906,2392.2759937376,6538,25,160801,0.9765625,74.60677806013
233.3984375,9543.701484064,2388.7201152942,6617,25,160801,0.9765625,76.963772335575
234.375,9660.420022637,2385.1117781478,6698,27,160801,0.9765625,79.334946856984
235.3515625,9776.890377541,2381.453184351,6778,26,160801,0.9765625,81.718016503427
236.328125,9890.644051479,2377.7464983901,6857,25,160801,0.9765625,84.110836512124
237.3046875,10008.548478916,2373.9938623324,6938,27,160801,0.9765625,86.511408593715
238.28125,10123.757598115,2370.1974089428,7018,26,160801,0.9765625,88.917882887556
239.2578125,10241.681051526,2366.359275264,7099,27,160801,0.9765625,91.328550091174
240.234375,10360.119883307,2362.4816168225,7181,28,160801,0.9765625,93.741791324105
241.2109375,10479.642369703,2358.5666220242,7263,28,160801,0.9765625,96.15607117807
242.1875,10596.94781368,2354.6165258083,7345,28,160801,0.9765625,98.569912855239
243.1640625,10717.542730817,2350.6336217705,7428,29,160801,0.9765625,100.98187352191
244.140625,10836.319557037,2346.6202720043,7511,29,160801,0.9765625,103.39051690336
245.1171875,10959.845258247,2342.5789141652,7596,31,160801,0.9765625,105.79439640531
246.09375,11083.004820695,2338.5120653759,7682,32,160801,0.9765625,108.19203107299
247.0703125,11210.92621859,2334.4223228303,7770,34,160801,0.9765625,110.58189623319
248.046875,11338.469157644,2330.3123611208,7859,35,160801,0.9765625,112.96241072261
249.0234375,11470.799425535,2326.1849264233,7950,37,160801,0.9765625,115.33194615281
250,11611.559855363,2322.0428276942,8048,44,160801,0.9765625,117.68884053223
250.9765625,11758.905082712,2317.8889253149,8149,47,160801,0.9765625,120.03140800491
251.953125,11906.956626212,2313.7261173736,8251,48,160801,0.9765625,122.35790261772
252.9296875,12056.822563691,2309.55732414,8353,48,160801,0.9765625,124.66657658205
253.90625,12201.966923557,2305.3854711504,8453,46,160801,0.9765625,126.95567704915
254.8828125,12341.52698888,2301.2134715107,8548,41,160801,0.9765625,129.22348275739
255.859375,12477.676806115,2297.0442079238,8642,40,160801,0.9765625,131.46832566027
256.8359375,12611.236839655,2292.8805150476,8733,37,160801,0.9765625,133.68860818952
