time,active_time,area_h,evaluations,iterations,nodes,step_size,von_mises
0,0,2495.535032879,0,0,0,0,0
62.5,267.109361935,2497.4586936758,177,19,160801,62.5,0.14562786070575
93.75,478.178175217,2497.4551917407,325,42,160801,31.25,0.14791142376434
125,595.58975889,2497.4490503077,409,30,160801,31.25,0.15178767867286
156.25,718.516457298,2497.4393560468,498,35,160801,31.25,0.15799957335274
187.5,850.526143669,2497.4238430629,593,41,160801,31.25,0.16814133618919
203.125,1019.03547716,2497.4134313499,716,17,160801,15.625,0.17501158775579
218.75,1132.651642076,2497.4000583721,798,28,160801,15.625,0.18385653547734
234.375,1253.431453427,2497.3825762459,883,31,160801,15.625,0.19540700071911
250,1370.741525655,2497.3591850644,968,31,160801,15.625,0.21080153662342
265.625,1499.472338676,2497.3268990005,1062,40,160801,15.625,0.23191728986004
281.25,1638.437448204,2497.2803964904,1162,46,160801,15.625,0.2621554677825
296.875,1782.424287098,2497.2092779579,1266,50,160801,15.625,0.30842049446461
304.6875,1983.477478114,2497.1614148506,1412,40,160801,7.8125,0.33977060616867
312.5,2098.522871443,2497.099392131,1493,27,160801,7.8125,0.38093311557574
320.3125,2220.603901133,2497.0167407309,1578,31,160801,7.8125,0.43700650745796
328.125,2362.682908097,2496.9028821738,1668,36,160801,7.8125,0.51693841816758
335.9375,2500.842975274,2496.7398561298,1763,41,160801,7.8125,0.63706482048992
343.75,2648.9231941,2496.4961619825,1865,48,160801,7.8125,0.82821621149163
347.65625,2850.741027842,2496.3340803443,2005,34,160801,3.90625,0.96205834981803
351.5625,2982.082118659,2496.1312648907,2095,36,160801,3.90625,1.1362050952265
355.46875,3127.070453926,2495.8755447075,2192,43,160801,3.90625,1.365114194817
359.375,3276.73259009,2495.5516013841,2294,48,160801,3.90625,1.668177161497
363.28125,3417.354725115,2495.1410406616,2390,42,160801,3.90625,2.0701829679141
367.1875,3559.543434297,2494.6232881351,2487,43,160801,3.90625,2.6004686030306
371.09375,3697.370703875,2493.9774907063,2581,40,160801,3.90625,3.2904343400011
375,3848.773918893,2493.1849112718,2685,50,160801,3.90625,4.1685556375946
378.90625,3991.194167828,2492.2303882553,2787,48,160801,3.90625,5.2539320109183
380.859375,4180.340522655,2491.6972437387,2928,35,160801,1.953125,5.8666942489411
382.8125,4304.201478022,2491.1202991863,3019,37,160801,1.953125,6.5310967454974
384.765625,4424.298406475,2490.4979101646,3109,36,160801,1.953125,7.2464507228406
386.71875,4548.377604427,2489.8281656699,3201,38,160801,1.953125,8.0120195769804
388.671875,4668.618374977,2489.1088142776,3291,36,160801,1.953125,8.8273886594005
390.625,4786.767093008,2488.3372391476,3379,34,160801,1.953125,9.6927084665568
392.578125,4902.214237864,2487.5104869521,3466,33,160801,1.953125,10.608857112058
396.484375,4970.566656284,2485.6497746341,3516,48,160801,3.90625,12.630070556164
400.390625,5108.12216906,2483.5217327575,3619,49,160801,3.90625,14.889402887821
404.296875,5244.215141663,2481.1047780498,3720,47,160801,3.90625,17.411909200749
406.25,5435.100629259,2479.8028519873,3863,37,160801,1.953125,18.760674394143
410.15625,5504.846475783,2476.9450271758,3914,49,160801,3.90625,21.698060097608
412.109375,5697.276923195,2475.4308970161,4059,39,160801,1.953125,23.24776216532
414.0625,5823.262473886,2473.8525849671,4153,40,160801,1.953125,24.85544322044
417.96875,5893.152659191,2470.4772994202,4205,50,160801,3.90625,28.254016125445
419.921875,6096.792139885,2468.7283280656,4351,40,160801,1.953125,29.993276588698
421.875,6225.819021158,2466.9294062031,4446,41,160801,1.953125,31.759877425581
423.828125,6357.071189951,2465.0825743962,4542,42,160801,1.953125,33.546935670515
425.78125,6489.055299303,2463.1886697748,4639,43,160801,1.953125,35.349087688233
427.734375,6623.153722706,2461.2473801739,4735,42,160801,1.953125,37.162665645883
429.6875,6755.164062816,2459.2573370402,4832,43,160801,1.953125,38.985708561237
431.640625,6888.76745719,2457.2162655806,4929,43,160801,1.953125,40.817870811744
433.59375,7016.608668425,2455.1211766834,5025,42,160801,1.953125,42.660144666895
437.5,7087.701856707,2450.7145839923,5077,50,160801,3.90625,46.408162287983
439.453125,7280.315428546,2448.4331127258,5222,39,160801,1.953125,48.29781432751
441.40625,7411.970641247,2446.0821975462,5320,44,160801,1.953125,50.208684598715
443.359375,7537.005216612,2443.6589498187,5414,40,160801,1.953125,52.143557359747
445.3125,7663.418377904,2441.1607895556,5508,40,160801,1.953125,54.105180631422
447.265625,7793.85547682,2438.5858465744,5606,44,160801,1.953125,56.096060591396
449.21875,7918.369353622,2435.9332004704,5699,39,160801,1.953125,58.11829891041
451.171875,8046.22413852,2433.2030429883,5795,42,160801,1.953125,60.173500930063
453.125,8174.348842629,2430.3967705869,5890,41,160801,1.953125,62.262570933245
455.078125,8300.913583567,2427.5170023631,5985,41,160801,1.953125,64.385629331448
457.03125,8427.358091894,2424.5675212492,6079,40,160801,1.953125,66.541779834381
458.984375,8557.10786635,2421.5531431864,6176,43,160801,1.953125,68.728944920867
460.9375,8683.457395668,2418.4795248998,6270,40,160801,1.953125,70.94395007236
462.890625,8811.643824809,2415.3529252982,6366,42,160801,1.953125,73.182542508541
464.84375,8937.235380146,2412.1799382885,6459,39,160801,1.953125,75.439613907165
466.796875,9062.502915767,2408.9672162804,6553,40,160801,1.953125,77.709405221207
468.75,9189.34111519,2405.7212043178,6647,40,160801,1.953125,79.985780824226
470.703125,9309.474408796,2402.4479033385,6737,36,160801,1.953125,82.262576872254
472.65625,9434.38167415,2399.1526776183,6830,39,160801,1.953125,84.53391136255
474.609375,9556.205555674,2395.8401158312,6921,37,160801,1.953125,86.79453956756
476.5625,9680.103466095,2392.5139486165,7013,38,160801,1.953125,89.039934403452
478.515625,9803.142276605,2389.1770196904,7105,38,160801,1.953125,91.266384631971
480.46875,9925.753994217,2385.8313031594,7196,37,160801,1.953125,93.470965622356
482.421875,10050.055445929,2382.4779572633,7289,39,160801,1.953125,95.651673141011
484.375,10171.804738667,2379.117403978,7379,36,160801,1.953125,97.807380465069
486.328125,10293.331298608,2375.7494242584,7470,37,160801,1.953125,99.937829909417
488.28125,10417.358336252,2372.3732603882,7562,38,160801,1.953125,102.04344603658
490.234375,10537.447623375,2368.987719551,7652,36,160801,1.953125,104.12518772095
492.1875,10658.655645633,2365.5912753389,7742,36,160801,1.953125,106.18445136156
494.140625,10784.286033422,2362.1821665763,7836,40,160801,1.953125,108.22297143331
495.1171875,10986.988003868,2360.4733404834,7987,45,160801,0.9765625,109.23579204872
496.09375,11119.653242455,2358.7603667005,8086,45,160801,0.9765625,110.24419068322
497.0703125,11251.95592211,2357.0432164366,8184,44,160801,0.9765625,111.24833610494
498.046875,11383.360677102,2355.3217540053,8282,44,160801,0.9765625,112.24846808354
499.0234375,11515.678226644,2353.5958040305,8380,44,160801,0.9765625,113.24482888213
500,11646.788553032,2351.8651787445,8478,44,160801,0.9765625,114.23767476273
501.953125,11711.216886172,2348.3885224845,8525,45,160801,1.953125,116.2119191119
502.9296875,11910.812799067,2346.64279321,8674,43,160801,0.9765625,117.19604250976
504.8828125,11968.400707858,2343.1343045902,8716,40,160801,1.953125,119.15524027095
506.8359375,12090.089384298,2339.6034487579,8807,37,160801,1.953125,121.10723220387
508.7890625,12215.493898651,2336.0499157689,8900,39,160801,1.953125,123.05406446785
510.7421875,12334.616307147,2332.4744555892,8989,35,160801,1.953125,124.99718029341
512.6953125,12463.080252578,2328.8788740067,9084,41,160801,1.953125,126.93742248922
514.6484375,12598.513427955,2325.2660524554,9185,47,160801,1.953125,128.87499597094
518.5546875,12669.76602284,2318.0069616433,9237,50,160801,3.90625,132.73443526613
522.4609375,12799.475128194,2310.7329530339,9334,43,160801,3.90625,136.56950058047
524.4140625,13001.799566063,2307.1020180513,9484,44,160801,1.953125,138.47149844878
526.3671875,13135.265657786,2303.4851509823,9584,46,160801,1.953125,140.35410502088
528.3203125,13272.888257451,2299.8881415364,9686,48,160801,1.953125,142.21292527671
530.2734375,13410.980211367,2296.3157505429,9789,49,160801,1.953125,144.04397239347
532.2265625,13550.227518619,2292.771857176,9892,49,160801,1.953125,145.8438201276
534.1796875,13688.3702095,2289.2595152622,9995,49,160801,1.953125,147.609747555
536.1328125,13829.231162592,2285.7810261561,10099,50,160801,1.953125,149.33977625766
537.109375,14017.394754757,2284.0523436279,10240,35,160801,0.9765625,150.19274516749
539.0625,14077.987538515,2280.6275780261,10284,42,160801,1.953125,151.86661152683
541.015625,14215.851261272,2277.2400346108,10386,48,160801,1.953125,153.50270422305
541.9921875,14409.443752836,2275.5569983248,10530,38,160801,0.9765625,154.30884483383
542.96875,14533.897371314,2273.8831778433,10623,39,160801,0.9765625,155.10563849228
544.921875,14601.049668324,2270.5712318774,10672,47,160801,1.953125,156.66673611457
546.875,14732.657152133,2267.2974343586,10770,44,160801,1.953125,158.19167981495
547.8515625,14926.013579465,2265.6706516109,10914,38,160801,0.9765625,158.943515094
549.8046875,14982.451075887,2262.4533750255,10956,40,160801,1.953125,160.41619928967
551.7578125,15116.966617883,2259.2735651242,11055,45,160801,1.953125,161.85587921865
553.7109375,15243.048804269,2256.1306321962,11149,40,160801,1.953125,163.26406587939
555.6640625,15367.439846213,2253.0241139021,11241,38,160801,1.953125,164.64211422708
556.640625,15564.057042341,2251.4795247808,11388,41,160801,0.9765625,165.32303200399
557.6171875,15690.964356202,2249.9437709288,11482,40,160801,0.9765625,165.99675993373
559.5703125,15744.743599976,2246.909477782,11522,38,160801,1.953125,167.31742821463
561.5234375,15874.261784354,2243.9114640358,11618,42,160801,1.953125,168.6112554153
562.5,16069.3095071,2242.4208323785,11764,40,160801,0.9765625,169.25128189397
564.453125,16120.058859771,2239.477602095,11801,35,160801,1.953125,170.50649263071
566.40625,16248.844794601,2236.5717462095,11897,42,160801,1.953125,171.73702276663
568.359375,16368.247871475,2233.7039302256,11985,34,160801,1.953125,172.94340317596
570.3125,16502.730478563,2230.8749641425,12086,47,160801,1.953125,174.12598649009
572.265625,16626.665725044,2228.0856016933,12178,38,160801,1.953125,175.28507997699
574.21875,16753.105974674,2225.3364002117,12273,41,160801,1.953125,176.42112048983
576.171875,16882.1302142,2222.6276227001,12368,41,160801,1.953125,177.53469583583
